Item Identifier,Item Weight,Fat Level,Item Visibility,Item Type,Item Price,Store Identifier,Store Established,Store Type,Item Sales
DRA12,11.6,Low Fat,0.068535039,Soft Drinks,2.21,OUT010,1998,Grocery Store,34
DRA12,11.6,Low Fat,0.040911824,Soft Drinks,2.2,OUT013,1987,Supermarket Type1,286
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,2.17,OUT017,2007,Supermarket Type1,287
DRA12,11.6,Low Fat,0.041112694,Soft Drinks,2.19,OUT018,2009,Supermarket Type2,97
DRA12,11.6,LF,0,Soft Drinks,2.19,OUT035,2004,Supermarket Type1,100
DRA12,11.6,Low Fat,0,Soft Drinks,2.19,OUT045,2002,Supermarket Type1,383
DRA24,19.35,Regular,0.066831682,Soft Drinks,2.53,OUT010,1998,Grocery Store,41
DRA24,19.35,Regular,0.039895009,Soft Drinks,2.51,OUT013,1987,Supermarket Type1,504
DRA24,19.35,Regular,0.040154087,Soft Drinks,2.54,OUT017,2007,Supermarket Type1,131
DRA24,,Regular,0.069909188,Soft Drinks,2.52,OUT019,1985,Grocery Store,61
DRA24,,Regular,0.039734882,Soft Drinks,2.56,OUT027,1985,Supermarket Type3,559
DRA24,19.35,Regular,0.039920687,Soft Drinks,2.52,OUT035,2004,Supermarket Type1,392
DRA24,19.35,Regular,0.039990314,Soft Drinks,2.55,OUT049,1999,Supermarket Type1,113
DRA59,8.27,Regular,0.214125129,Soft Drinks,2.84,OUT010,1998,Grocery Store,28
DRA59,8.27,Regular,0.127821472,Soft Drinks,2.87,OUT013,1987,Supermarket Type1,76
DRA59,8.27,Regular,0,Soft Drinks,2.83,OUT017,2007,Supermarket Type1,246
DRA59,8.27,Regular,0.128449055,Soft Drinks,2.88,OUT018,2009,Supermarket Type2,600
DRA59,,Regular,0.223985293,Soft Drinks,2.87,OUT019,1985,Grocery Store,85
DRA59,,Regular,0.127308434,Soft Drinks,2.88,OUT027,1985,Supermarket Type3,946
DRA59,8.27,Regular,0.127927931,Soft Drinks,2.85,OUT046,1997,Supermarket Type1,599
DRA59,8.27,Regular,0.128126825,Soft Drinks,2.83,OUT049,1999,Supermarket Type1,176
DRB01,7.39,Low Fat,0.082170947,Soft Drinks,2.95,OUT013,1987,Supermarket Type1,302
DRB01,,Low Fat,0.081841136,Soft Drinks,2.93,OUT027,1985,Supermarket Type3,70
DRB01,7.39,Low Fat,0.082367244,Soft Drinks,2.9,OUT049,1999,Supermarket Type1,186
DRB13,6.115,Regular,0.01179078,Soft Drinks,2.92,OUT010,1998,Grocery Store,101
DRB13,6.115,Regular,0.007038478,Soft Drinks,2.92,OUT013,1987,Supermarket Type1,376
DRB13,6.115,Regular,0.007084185,Soft Drinks,2.95,OUT017,2007,Supermarket Type1,356
DRB13,6.115,Regular,0.007043008,Soft Drinks,2.94,OUT035,2004,Supermarket Type1,60
DRB13,6.115,Regular,0.007055292,Soft Drinks,2.91,OUT049,1999,Supermarket Type1,376
DRB24,8.785,Low Fat,0.020693619,Soft Drinks,2.36,OUT017,2007,Supermarket Type1,198
DRB24,8.785,Low Fat,0.020573334,Soft Drinks,2.41,OUT035,2004,Supermarket Type1,230
DRB24,8.785,Low Fat,0.020618957,Soft Drinks,2.36,OUT045,2002,Supermarket Type1,444
DRB24,8.785,Low Fat,0.020609218,Soft Drinks,2.39,OUT049,1999,Supermarket Type1,427
DRB25,12.3,Low Fat,0.116261335,Soft Drinks,1.65,OUT010,1998,Grocery Store,29
DRB25,12.3,Low Fat,0.069401919,Soft Drinks,1.67,OUT013,1987,Supermarket Type1,243
DRB25,12.3,Low Fat,0.069852615,Soft Drinks,1.66,OUT017,2007,Supermarket Type1,281
DRB25,12.3,Low Fat,0.069742672,Soft Drinks,1.64,OUT018,2009,Supermarket Type2,205
DRB25,,Low Fat,0.06912336,Soft Drinks,1.64,OUT027,1985,Supermarket Type3,332
DRB25,12.3,Low Fat,0.069446588,Soft Drinks,1.64,OUT035,2004,Supermarket Type1,102
DRB48,16.75,Regular,0.041599644,Soft Drinks,0.64,OUT010,1998,Grocery Store,18
DRB48,16.75,Regular,0.024832806,Soft Drinks,0.6,OUT013,1987,Supermarket Type1,73
DRB48,16.75,Regular,0.024994069,Soft Drinks,0.58,OUT017,2007,Supermarket Type1,60
DRB48,,Regular,0.024733134,Soft Drinks,0.63,OUT027,1985,Supermarket Type3,143
DRB48,16.75,Regular,0.024848788,Soft Drinks,0.62,OUT035,2004,Supermarket Type1,83
DRB48,16.75,Regular,0,Soft Drinks,0.61,OUT046,1997,Supermarket Type1,37
DRB48,16.75,Regular,0.024892129,Soft Drinks,0.59,OUT049,1999,Supermarket Type1,64
DRC01,5.92,Regular,0.019184026,Soft Drinks,0.78,OUT013,1987,Supermarket Type1,65
DRC01,5.92,Regular,0.019308607,Soft Drinks,0.76,OUT017,2007,Supermarket Type1,160
DRC01,5.92,Regular,0.019278216,Soft Drinks,0.75,OUT018,2009,Supermarket Type2,49
DRC01,,Regular,0.019107027,Soft Drinks,0.75,OUT027,1985,Supermarket Type3,113
DRC01,5.92,Regular,0.019238942,Soft Drinks,0.77,OUT045,2002,Supermarket Type1,123
DRC01,5.92,Regular,0.019200003,Soft Drinks,0.74,OUT046,1997,Supermarket Type1,54
DRC12,17.85,Low Fat,0.038040837,Soft Drinks,2.92,OUT017,2007,Supermarket Type1,360
DRC12,17.85,Low Fat,0.03781972,Soft Drinks,2.96,OUT035,2004,Supermarket Type1,275
DRC12,17.85,Low Fat,0.037826873,Soft Drinks,2.93,OUT046,1997,Supermarket Type1,254
DRC12,17.85,Low Fat,0.037885683,Soft Drinks,2.94,OUT049,1999,Supermarket Type1,107
DRC13,8.26,Regular,0.032625074,Soft Drinks,1.92,OUT017,2007,Supermarket Type1,207
DRC13,8.26,Regular,0.032573725,Soft Drinks,1.93,OUT018,2009,Supermarket Type2,111
DRC13,8.26,Regular,0.032435437,Soft Drinks,1.93,OUT035,2004,Supermarket Type1,331
DRC13,8.26,Regular,0,Soft Drinks,1.89,OUT045,2002,Supermarket Type1,75
DRC24,17.85,Low Fat,0.024961677,Soft Drinks,2.36,OUT017,2007,Supermarket Type1,364
DRC24,17.85,Low Fat,0.02492239,Soft Drinks,2.37,OUT018,2009,Supermarket Type2,315
DRC25,5.73,Low Fat,0.075943184,Soft Drinks,1.32,OUT010,1998,Grocery Store,22
DRC25,5.73,Low Fat,0.045334098,Soft Drinks,1.35,OUT013,1987,Supermarket Type1,204
DRC25,5.73,Low Fat,0.045556681,Soft Drinks,1.32,OUT018,2009,Supermarket Type2,146
DRC25,,Low Fat,0.079440262,Soft Drinks,1.34,OUT019,1985,Grocery Store,11
DRC25,,Low Fat,0,Soft Drinks,1.35,OUT027,1985,Supermarket Type3,138
DRC25,5.73,Low Fat,0.045463871,Soft Drinks,1.32,OUT045,2002,Supermarket Type1,234
DRC25,5.73,Low Fat,0.045371855,Soft Drinks,1.33,OUT046,1997,Supermarket Type1,127
DRC27,13.8,Low Fat,0.097251621,Dairy,3.79,OUT010,1998,Grocery Store,25
DRC27,13.8,Low Fat,0.05843112,Dairy,3.76,OUT017,2007,Supermarket Type1,197
DRC27,13.8,Low Fat,0.058339153,Dairy,3.8,OUT018,2009,Supermarket Type2,123
DRC27,13.8,Low Fat,0.058091482,Dairy,3.78,OUT035,2004,Supermarket Type1,566
DRC27,13.8,Low Fat,0.058220302,Dairy,3.82,OUT045,2002,Supermarket Type1,148
DRC27,13.8,Low Fat,0.058192802,Dairy,3.81,OUT049,1999,Supermarket Type1,590
DRC36,13,Regular,0,Soft Drinks,2.68,OUT013,1987,Supermarket Type1,180
DRC36,13,Regular,0.045239326,Soft Drinks,2.69,OUT017,2007,Supermarket Type1,504
DRC36,,Regular,0.044767032,Soft Drinks,2.68,OUT027,1985,Supermarket Type3,665
