OBJECTID,STATION_ID,STN_NUMBER,COUNTY,LOCATION,RTE_NUMBER,AADT_2018,AADT_2017,AADT_2016,AADT_2015,AADT_2014,AADT_2013,AADT_2012,AADT_2011,AADT_2010,AADT_2009,AADT_2008,AADT_2007,AADT_2006,AADT_2005,AADT_2004,AADT_2003,AADT_2002,AADT_2001,AADT_2000,AADT_1999,AADT_1998,AADT_1997,AADT_1996,AADT_1995,AADT_1994,AADT_1993,AADT_1992,AADT_1991,AADT_1990,AADT_1989,AADT_1988,AADT_1987,AADT_1986,AADT_1985,AADT_1984,AADT_1983
1493,031000008,000008,Coffee,NW OF MANCHESTER,SR280,1543,1420,1358,1330,1467,1281,1174,1179,1369,1190,1114,1350,1254,1192,1088,1038,982,1007,1051,1010,968,861,890,923,840,811,765,720,724,785,811,757,457,688,,
2315,031000028,000028,Coffee,NORTH OF MANCHESTER,02135,2162,2365,2291,2109,2079,2073,2052,1934,1890,2120,2019,2134,2057,2148,1988,1994,1937,1835,1864,1770,1769,1764,1521,1486,1506,1446,1356,1286,1158,1108,1059,994,1124,1121,,
1835,031000029,000029,Coffee,MARKEELE RD. - NORTHEAST OF MANCHESTER,0A466,40,44,58,56,54,68,61,91,87,96,244,252,245,219,208,178,215,209,227,189,240,226,180,172,166,140,154,105,197,222,832,742,791,810,,
2768,031000030,000030,Coffee,NORTHEAST OF MANCHESTER,SR055,9504,8600,10101,8871,10090,8908,8391,8694,9302,7800,8103,9031,8786,8579,9455,9564,9205,8668,9528,8896,8271,7901,7706,7152,7513,7388,6400,6377,6038,6085,4592,5585,4100,4081,,
8171,031000037,000037,Coffee,EAST MANCHESTER,01096,2153,1994,1878,1866,1962,1633,1754,1764,1967,1734,1572,1770,1738,1946,1678,1852,1933,1755,1840,1739,1741,1602,1491,1636,1681,1490,1500,1481,1094,1417,1653,1596,1400,1700,,
8610,031000038,000038,Coffee,NORTHEAST OF MANCHESTER,SR055,13831,14034,13846,13614,13226,13237,13368,13317,13907,13502,13290,13649,13582,14100,13667,14835,14488,13721,14056,13623,12705,12277,11922,11140,10336,10710,5590,6003,9372,8591,8500,9319,6100,6000,,
8624,031000039,000039,Coffee,NORTH MANCHESTER,SR053,9910,10802,9885,9585,10191,9894,9165,8553,8827,8050,8684,11049,8903,9275,8750,8214,8331,8287,8616,8100,8026,8338,7730,7484,7999,7033,5735,6699,6409,7051,6684,7085,6095,6445,,
7632,031000041,000041,Coffee,NORTH MANCHESTER,SR002,9660,9236,9162,8691,8603,9150,8252,8680,9379,8680,8750,9092,9333,9483,8410,7982,7915,7718,8220,8083,8677,6748,8148,7781,8744,7273,8025,8486,8474,8054,6807,6662,7065,5913,,
2485,031000046,000046,Coffee,MANCHESTER RD-SOUTH MANCHESTER,04664,2517,2592,2556,2539,2302,2371,2725,2419,2352,2396,2072,2457,2535,2528,2282,2528,2367,2169,2362,2359,2267,2512,2348,2391,1729,2274,2494,2141,1867,2134,1764,1832,1815,1950,,
6820,031000047,000047,Coffee,SOUTH MANCHESTER,SR055,19479,18541,17333,16538,14559,16127,15967,15265,16298,16423,15535,15756,15308,17910,15981,15536,15876,14200,13755,13610,13762,12046,13399,13961,12419,11955,11648,11062,10437,11003,12948,10901,8962,7711,,
7178,031000048,000048,Coffee,SOUTHEAST MANCHESTER,SR002,19000,19736,18110,19771,17923,18689,18182,18567,18177,18230,17853,18438,18718,20839,19078,19566,17889,15947,15112,17010,15962,14900,14894,15007,16077,14830,15861,14069,14290,15520,15564,13877,15068,12798,,
4144,031000049,000049,Coffee,ASBURY RD-SOUTHEAST OF MANCHESTER,01094,2437,2320,2288,2425,2148,1994,2211,2124,2464,2456,2255,2345,2406,2293,2141,2322,1879,2035,1780,1788,1720,1713,1643,1440,1617,1355,1553,1414,1505,1486,1465,1500,1338,1168,,
1930,031000055,000055,Coffee,SOUTHEAST OF MANCHESTER,00918,2556,2384,1712,1742,1691,1739,1843,1789,1920,1973,1779,1665,1858,1755,1700,2043,1899,1791,1778,1321,1830,1820,1712,1540,1560,1568,1707,1516,1426,1050,1027,1036,1058,1156,,
4711,031000056,000056,Coffee,BELMONT RD. - SOUTH OF MANCHESTER,0A323,1304,1276,1311,1321,1256,1391,1387,1311,1333,1438,1354,1444,1708,1636,1458,1527,1483,1402,1387,1305,1230,1170,1163,1340,1238,1000,1049,866,904,880,892,644,705,653,,
5189,031000057,000057,Coffee,SOUTH OF MANCHESTER,01111,618,767,810,802,779,748,732,938,929,750,792,976,948,930,818,841,844,794,777,705,680,668,898,742,720,530,540,468,556,555,512,427,436,353,,
4567,031000082,000082,Coffee,SOUTHEAST OF MANCHESTER,SR002,6166,5672,5376,5461,5129,4870,5427,4711,5843,5563,4718,4928,5140,5231,5821,5540,5085,4859,4763,4395,4183,4370,4052,4130,4164,3972,4440,3771,3824,3559,3230,2682,3599,2380,,
10405,031000086,000086,Coffee,MANCHESTER,SR055,14770,13421,13288,12630,14459,14656,15472,15023,16496,15030,15873,15876,15006,16625,15864,16769,17835,16248,17102,15336,15160,15066,13995,14466,12852,13373,11118,11876,11034,11061,10028,12626,9307,8841,,
5731,031000087,000087,Coffee,NORTHWEST OF MANCHESTER,I0024,47387,43245,43733,41275,41267,37982,39568,36184,35615,40621,40672,41923,40264,40237,37665,36750,36627,35626,33293,33331,32457,31755,29433,27862,28084,28230,26050,23296,22442,18254,19033,18359,17619,14442,,
6539,031000088,000088,Coffee,EAST MANCHESTER,I0024,45680,42787,42512,41861,41934,38286,40724,34687,35473,39858,40644,42128,37434,36317,36857,31893,29847,26612,29754,29832,30075,29403,23990,26491,23006,23883,23755,24361,22834,21507,20658,21049,16730,15884,,
9983,031000089,000089,Coffee,INTERSTATE DR-NORTH MANCHESTER,03410,6170,6489,6015,6140,5961,5701,6011,5967,6870,5750,6308,6919,6200,6608,6044,6423,6674,6259,6435,5968,5990,5595,5179,5170,5360,4917,4558,4192,3951,3500,3286,3500,2675,3652,,
10773,031000090,000090,Coffee,SOUTHEAST OF MANCHESTER,SR002,16441,16500,14318,15340,15114,15640,14982,13054,14013,14028,13328,14385,14115,14620,14157,13291,14331,11008,10766,11763,9874,9715,9828,9665,7346,9942,9497,8088,7936,7893,6900,6947,6921,6263,,
5994,031000091,000091,Coffee,NORTHWEST OF MANCHESTER,SR002,6180,5562,5004,4764,4550,4315,4092,5000,5048,4992,4574,4591,4502,4730,4768,4547,4961,4349,4439,4310,4135,3676,4246,4167,4027,3877,3896,3978,3417,3529,3667,3105,3194,2876,,
