ID,Name,Host ID,Host Name,Host Since,Host Location,Host Response Time,Host Response Rate,Host Acceptance Rate,Host Is Superhost,Host Listings Count,Host Has Profile Pic,Host Identity Verified,City,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Number Of Reviews,First Review,Last Review,Instant Bookable,Cancellation Policy,Reviews Per Month,City Bins,superhost_Yes,verified_Yes,property_Apartment,property_Bed & Breakfast,property_Boat,property_Condominium,property_House,property_Loft,property_Townhouse,property_Villa,room_Entire home/apt,room_Private room,room_Shared room,bed_Airbed,bed_Couch,bed_Futon,bed_Pull-out Sofa,bed_Real Bed,instabook_Yes,cancel_flexible,cancel_moderate,cancel_strict,cancel_super_strict_30,citybins_Boston,citybins_Brookline,citybins_Cambridge,citybins_Charlestown,citybins_Jamaica Plain,citybins_Other,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Guests Not Included,Guests per Bed,Accommodates per Bathroom
1341072,"Cozy, One bedroom Condo, Back Bay",4161865,Ally,11/15/2015,"Boston, Massachusetts, United States",within an hour,1.0,0.8,No,2,Yes,Yes,Boston,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,175.0,0.0,75.0,1,0,3,41,7/11/2017,6/11/2019,No,strict,1.56,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,8.9875,8.875,8.875,10.0,9.999999999999998,10.0,8.875,1,1.0,2.0
9460898,Brand NEW South Boston 1 bedroom,1444340,Will,11/25/2014,"Boston, Massachusetts, United States",within a day,0.98,0.68,No,24,Yes,Yes,Boston,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,189.0,500.0,100.0,1,0,2,6,2/18/2019,8/19/2019,No,strict,0.89,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,10.0,10.0,10.0,10.0,9.999999999999998,10.0,10.0,3,1.0,4.0
13667826,AMAZING LOCATION - Back Bay/ Symphony,31204913,Anfisa,4/13/2018,"Cambridge, Massachusetts, United States",a few days or more,0.3,0.94,No,1,Yes,Yes,Boston,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,65.0,0.0,10.0,1,0,2,4,7/8/2019,8/7/2019,No,flexible,1.94,Boston,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,8.875,8.875,8.875,10.0,9.999999999999998,10.0,8.875,0,1.0,1.0
6609546,Beautiful Waterfront Location.,34584706,George,5/29/2018,"Boston, Massachusetts, United States",within a few hours,0.95,0.99,Yes,8,Yes,Yes,Boston,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,150.0,0.0,0.0,1,0,1,74,6/3/2018,9/1/2019,No,moderate,4.81,Boston,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,9.6625,10.0,10.0,10.0,9.999999999999998,10.0,10.0,1,0.5,1.0
14153636,King Zen Room near Harvard Business Scho,26956083,Todd,1/29/2018,"Boston, Massachusetts, United States",within an hour,0.99,0.93,No,24,Yes,Yes,Boston,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,79.0,0.0,30.0,1,20,2,6,8/9/2019,9/3/2019,Yes,strict,6.0,Boston,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,10.0,10.0,10.0,10.0,9.999999999999998,8.875,10.0,1,1.0,2.0
4996375,Lovely Private Bedroom- Location!,25499738,Chris,1/1/2018,"Boston, Massachusetts, United States",within an hour,0.96,0.96,No,2,Yes,Yes,Boston,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,119.0,0.0,0.0,1,20,1,55,1/15/2018,8/26/2019,No,moderate,2.75,Boston,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,9.775,10.0,8.875,10.0,9.999999999999998,10.0,10.0,1,1.0,2.0
4978467,Charming Beacon Hill 1+ BR Condo,11017004,Kevin,1/3/2017,"Boston, Massachusetts, United States",within a few hours,1.0,1.0,No,1,Yes,Yes,Boston,Apartment,Entire home/apt,2,1.0,2.0,1.0,Real Bed,250.0,200.0,0.0,1,0,2,2,5/24/2018,8/9/2018,No,strict,0.13,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,10.0,10.0,10.0,10.0,9.999999999999998,10.0,8.875,1,1.0,2.0
7984949,"Private room, East Boston",42144668,Dan,8/20/2018,"Boston, Massachusetts, United States",within a day,1.0,0.64,No,1,Yes,Yes,Boston,House,Private room,2,1.0,1.0,1.0,Real Bed,89.0,0.0,0.0,1,10,1,6,9/14/2018,9/6/2019,No,flexible,0.5,Boston,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,9.2125,10.0,8.875,10.0,8.5,10.0,8.875,1,1.0,2.0
6565713,Cozy bi-level Southie pad,34343733,Steven,5/26/2018,US,within an hour,1.0,0.97,No,1,Yes,No,Boston,Apartment,Entire home/apt,5,1.5,2.0,3.0,Real Bed,250.0,0.0,0.0,4,50,1,56,7/3/2018,8/24/2019,No,moderate,3.89,Boston,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,9.4375,10.0,10.0,10.0,9.999999999999998,8.875,10.0,1,1.3333333333333333,3.333333333333333
7264674,Stunning Newbury Street Apartment,6055747,Krissy,4/22/2016,"Boston, Massachusetts, United States",within an hour,1.0,0.5,No,1,Yes,Yes,Boston,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,200.0,0.0,80.0,1,0,2,15,7/18/2018,8/7/2019,No,strict,1.08,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,9.1,8.875,8.875,10.0,9.999999999999998,10.0,8.875,2,1.0,3.0
